Time_Index,NR_conventional_hydroelectric,NER_conventional_hydroelectric,ER_conventional_hydroelectric,WR_conventional_hydroelectric,SR_conventional_hydroelectric,ER_solar_rt,NER_solar_rt,NR_solar_rt,SR_solar_rt,WR_solar_rt,ER_offshore_wind,SR_offshore_wind,WR_offshore_wind,NER_offshore_wind,NR_offshore_wind,ER_solar_pv,NER_solar_pv,NR_solar_pv,SR_solar_pv,WR_solar_pv,ER_onshore_wind,NER_onshore_wind,NR_onshore_wind,SR_onshore_wind,WR_onshore_wind,ALL_EGcoal,ALL_EGgas,ALL_EGnuclear
20,0.21,0.21,0.21,0.21,0.21,0,0,0,0,0,0.12745,0.248014286,0.13848254,0,0,0,0,0,0,0,0.147055556,0.093405,0.073806043,0.227611833,0.162734034,0.85,0.85,0.709166667
21,0.21,0.21,0.21,0.21,0.21,0,0,0,0,0,0.109783333,0.264786905,0.143933333,0,0,0,0,0,0,0,0.171977778,0.09778,0.075324951,0.243663167,0.188461092,0.85,0.85,0.709166667
22,0.21,0.21,0.21,0.21,0.21,0,0,0,0,0,0.091283333,0.260233333,0.17788254,0,0,0,0,0,0,0,0.179822222,0.10137,0.079492788,0.258982167,0.204272101,0.85,0.85,0.709166667
23,0.21,0.21,0.21,0.21,0.21,0,0,0,0,0,0.0796,0.257847619,0.189592063,0,0,0,0,0,0,0,0.188422222,0.09861,0.086530214,0.258717667,0.195600756,0.85,0.85,0.709166667
24,0.21,0.21,0.21,0.21,0.21,0,0,0,0,0,0.077533333,0.253908333,0.192955556,0,0,0,0,0,0,0,0.192944444,0.09272,0.08985731,0.255981333,0.198944286,0.85,0.85,0.709166667
25,0.21,0.21,0.21,0.21,0.21,0,0,0,0,0,0.084233333,0.242864286,0.20334127,0,0,0,0,0,0,0,0.187866667,0.08763,0.089837622,0.246717333,0.183980588,0.85,0.85,0.709166667
26,0.21,0.21,0.21,0.21,0.21,0,0,0,0,0,0.100666667,0.233980952,0.212106349,0,0,0,0,0,0,0,0.185077778,0.088255,0.086407992,0.231873333,0.176447731,0.85,0.85,0.709166667
27,0.21,0.21,0.21,0.21,0.21,0,0,0,0,0,0.134433333,0.234105952,0.208252381,0,0,0,0,0,0,0,0.176022222,0.093375,0.088640936,0.222830667,0.17016563,0.85,0.85,0.709166667
28,0.21,0.21,0.21,0.21,0.21,0,0,0,0,0,0.178066667,0.231853571,0.210406349,0,0,0,0,0,0,0,0.181111111,0.094435,0.08718694,0.205854667,0.168325462,0.85,0.85,0.709166667
29,0.21,0.21,0.21,0.21,0.21,0,0,0,0,0,0.20835,0.219411905,0.226134921,0,0,0,0,0,0,0,0.189022222,0.0774,0.083460039,0.187410833,0.162016218,0.85,0.85,0.709166667
