Time_Index,NR_conventional_hydroelectric,NER_conventional_hydroelectric,ER_conventional_hydroelectric,WR_conventional_hydroelectric,SR_conventional_hydroelectric,ER_solar_rt,NER_solar_rt,NR_solar_rt,SR_solar_rt,WR_solar_rt,ER_offshore_wind,SR_offshore_wind,WR_offshore_wind,NER_offshore_wind,NR_offshore_wind,ER_solar_pv,NER_solar_pv,NR_solar_pv,SR_solar_pv,WR_solar_pv,ER_onshore_wind,NER_onshore_wind,NR_onshore_wind,SR_onshore_wind,WR_onshore_wind
28,0.19,0.19,0.19,0.19,0.19,0,0,0,0,0,0.048766667,0.132267857,0.301180952,0,0,0,0,0,0,0,0.1475,0.100095,0.160407018,0.203582,0.206923109
29,0.19,0.19,0.19,0.19,0.19,0,0,0,0,0,0.048183333,0.130375,0.309649206,0,0,0,0,0,0,0,0.148288889,0.101035,0.154711306,0.192255,0.204277311
30,0.19,0.19,0.19,0.19,0.19,0,0,0,0,0,0.073433333,0.128671429,0.331025397,0,0,0,0,0,0,0,0.123155556,0.10037,0.149140936,0.184091333,0.199176387
31,0.19,0.19,0.19,0.19,0.19,0.001416667,0.02211,1.11E-05,0,0,0.073916667,0.139259524,0.325577778,0,0,0.000488889,0.02701,0,0,0,0.107688889,0.102745,0.147219688,0.180989333,0.20641437
32,0.19,0.19,0.19,0.19,0.19,0.129466667,0.194975,0.038976296,0.072285667,0.044113214,0.08525,0.137159524,0.3078,0,0,0.122366667,0.217705,0.043797661,0.069977987,0.048104118,0.085777778,0.098145,0.141445029,0.172362167,0.193212353
33,0.19,0.19,0.19,0.19,0.19,0.298016667,0.35746,0.225855556,0.267615,0.229459286,0.0941,0.142305952,0.273368254,0,0,0.298733333,0.38683,0.235989669,0.265575654,0.237259748,0.064188889,0.06642,0.13075614,0.1500155,0.182624874
34,0.19,0.19,0.19,0.19,0.19,0.445933333,0.482125,0.39616963,0.440076667,0.411473929,0.101533333,0.147652381,0.234765079,0,0,0.436855556,0.512635,0.42134191,0.442450679,0.418672689,0.040533333,0.037655,0.117985185,0.110959,0.142126639
35,0.19,0.19,0.19,0.19,0.19,0.552666667,0.572485,0.529061481,0.567919,0.546596429,0.106933333,0.144142857,0.219179365,0,0,0.548211111,0.587345,0.543581287,0.572950115,0.554914034,0.031822222,0.02956,0.095854776,0.105926,0.091864034
36,0.19,0.19,0.19,0.19,0.19,0.602766667,0.608095,0.609339259,0.648032667,0.635843571,0.10325,0.128625,0.209557143,0,0,0.614955556,0.60673,0.604407797,0.654271308,0.639626975,0.025733333,0.03769,0.088316959,0.119079333,0.066865126
37,0.19,0.19,0.19,0.19,0.19,0.599366667,0.578385,0.618001481,0.669708333,0.663926071,0.094266667,0.116545238,0.165685714,0,0,0.614188889,0.59016,0.611688109,0.675455462,0.667335546,0.028988889,0.041765,0.087353801,0.128479167,0.061653866
38,0.19,0.19,0.19,0.19,0.19,0.553583333,0.51665,0.621102222,0.659045333,0.650353214,0.070533333,0.117855952,0.157433333,0,0,0.563177778,0.529045,0.622269201,0.659849756,0.655127983,0.031688889,0.049655,0.095851462,0.133198167,0.059821849
39,0.19,0.19,0.19,0.19,0.19,0.45705,0.405915,0.549493333,0.592343667,0.587567857,0.047566667,0.125310714,0.134752381,0,0,0.460566667,0.433125,0.544076413,0.593015077,0.586365042,0.035255556,0.042415,0.105,0.135390167,0.062868571
40,0.19,0.19,0.19,0.19,0.19,0.330066667,0.25952,0.429092593,0.480876,0.4765225,0.036416667,0.133655952,0.160285714,0,0,0.316777778,0.267285,0.427306823,0.479255872,0.479250588,0.035988889,0.038615,0.113464522,0.135192167,0.063131765
