"elec_demand_ER_p20_2024","elec_demand_NER_p20_2024","elec_demand_NR_p20_2024","elec_demand_SR_p20_2024","elec_demand_WR_p20_2024"
30048.5589141753,2581.34467852481,56958.2907940203,35606.8175243149,44661.9421124167
29745.6348900311,2454.66622609178,55856.9953488734,36199.4068298055,44687.737690541
29361.7820572094,2249.7593929889,54779.1140801299,38463.3385454646,45511.2785160272
29909.0331277045,2470.86628380404,52281.8144535977,42433.6633527212,49757.0464730472
29914.0832849449,2605.83719122936,57011.2250904133,46299.2468307687,50736.1991757132
30002.8513466944,2626.418954209,59417.3411979135,47811.8935828909,51353.3071770243
29259.0521743931,2539.84807380778,59817.1152325213,49244.2779513159,50150.7227737341
28514.2811153302,2571.62510036445,59336.1493551788,49217.9651510122,49807.4526161006
28558.6073262322,2628.11833625846,59884.2009780913,49261.5854782376,49541.2961763806
28495.759387752,2677.22995986661,60432.5763045326,49247.2071879414,48933.7596393345
28309.5998349345,2714.50792493851,60247.3452888227,48587.6069839666,48662.0061501313
28543.1217479116,2778.24852320216,60367.3880113248,48387.1172765642,48897.9942607683
28777.1357637165,2828.51705270628,60223.246670027,48222.6181489421,49292.1239589415
28657.6890453279,2835.91488640698,60053.6200615631,47421.306999172,49568.4385657226
28180.1759694576,2848.44478490096,59224.7767571344,43958.7802370088,48930.5780864854
30885.3029806194,3368.62762562666,56821.2924045962,44255.2980770417,51308.7666954422
32272.5294387106,3372.32276884369,64185.5511843207,45503.8598530054,51829.2379727279
32361.9771207876,3368.43804102384,64905.9034371251,44084.9644348664,51119.809511751
32330.8532000892,3317.1747416848,65051.2249308157,42632.3026488156,50219.9257073659
32191.6184001349,3187.74564573811,63671.0249693318,40867.890557128,47347.6701597015
31057.1779404577,2967.18162031919,61865.8630434011,38471.1347952356,46455.9887023277
30907.0789906747,2393.44834159506,58669.5791615913,38812.1820303954,48869.4324468288
30135.0820242258,2297.36929052296,56749.7172971828,37408.8752763939,47593.6247626364
29852.2465330697,2255.88946561011,55838.1781420997,36893.5096448683,47333.8110674385
29571.5112242867,2228.25558437369,55098.8718980603,36655.5897070758,47229.594738833
29222.892349587,2178.60140995921,53956.6023507278,36960.3582872061,46798.0731243586
28816.5759224624,2182.50917386254,53222.4681158831,38933.1815737508,47760.7483245597
