NR_NG_CCGT,NER_NG_CCGT,SR_NG_CCGT,ER_NG_CCGT,WR_NG_CCGT,NR_NG_OCGT,NER_NG_OCGT,SR_NG_OCGT,ER_NG_OCGT,WR_NG_OCGT
18.59617191,18.59617191,18.59617191,18.59617191,18.59617191,18.59617191,18.59617191,18.59617191,18.59617191,18.59617191
18.59617191,18.59617191,18.59617191,18.59617191,18.59617191,18.59617191,18.59617191,18.59617191,18.59617191,18.59617191
18.59617191,18.59617191,18.59617191,18.59617191,18.59617191,18.59617191,18.59617191,18.59617191,18.59617191,18.59617191
18.59617191,18.59617191,18.59617191,18.59617191,18.59617191,18.59617191,18.59617191,18.59617191,18.59617191,18.59617191
18.59617191,18.59617191,18.59617191,18.59617191,18.59617191,18.59617191,18.59617191,18.59617191,18.59617191,18.59617191
18.59617191,18.59617191,18.59617191,18.59617191,18.59617191,18.59617191,18.59617191,18.59617191,18.59617191,18.59617191
18.59617191,18.59617191,18.59617191,18.59617191,18.59617191,18.59617191,18.59617191,18.59617191,18.59617191,18.59617191
18.59617191,18.59617191,18.59617191,18.59617191,18.59617191,18.59617191,18.59617191,18.59617191,18.59617191,18.59617191
18.59617191,18.59617191,18.59617191,18.59617191,18.59617191,18.59617191,18.59617191,18.59617191,18.59617191,18.59617191
18.59617191,18.59617191,18.59617191,18.59617191,18.59617191,18.59617191,18.59617191,18.59617191,18.59617191,18.59617191
18.59617191,18.59617191,18.59617191,18.59617191,18.59617191,18.59617191,18.59617191,18.59617191,18.59617191,18.59617191
18.59617191,18.59617191,18.59617191,18.59617191,18.59617191,18.59617191,18.59617191,18.59617191,18.59617191,18.59617191
18.59617191,18.59617191,18.59617191,18.59617191,18.59617191,18.59617191,18.59617191,18.59617191,18.59617191,18.59617191
18.59617191,18.59617191,18.59617191,18.59617191,18.59617191,18.59617191,18.59617191,18.59617191,18.59617191,18.59617191
18.59617191,18.59617191,18.59617191,18.59617191,18.59617191,18.59617191,18.59617191,18.59617191,18.59617191,18.59617191
18.59617191,18.59617191,18.59617191,18.59617191,18.59617191,18.59617191,18.59617191,18.59617191,18.59617191,18.59617191
18.59617191,18.59617191,18.59617191,18.59617191,18.59617191,18.59617191,18.59617191,18.59617191,18.59617191,18.59617191
18.59617191,18.59617191,18.59617191,18.59617191,18.59617191,18.59617191,18.59617191,18.59617191,18.59617191,18.59617191
18.59617191,18.59617191,18.59617191,18.59617191,18.59617191,18.59617191,18.59617191,18.59617191,18.59617191,18.59617191
18.59617191,18.59617191,18.59617191,18.59617191,18.59617191,18.59617191,18.59617191,18.59617191,18.59617191,18.59617191
18.59617191,18.59617191,18.59617191,18.59617191,18.59617191,18.59617191,18.59617191,18.59617191,18.59617191,18.59617191
