"elec_demand_ER","elec_demand_NER","elec_demand_NR","elec_demand_SR","elec_demand_WR"
44373.8339528178,3495.79513277058,52302.2069613345,59613.1506769428,70256.6634813482
43191.843641794,3388.92830204408,50375.663118536,58025.411615418,67816.6015274121
42530.6610926166,3256.07753927966,48917.2417919926,56456.0495006494,66440.2929130732
42092.4273029153,3168.81040917647,48055.8054918602,55324.0584352614,65899.0920730702
42205.5720755606,3189.27143995693,48338.8519034278,56571.375532691,65721.3988680069
41081.761676398,3370.15131795545,48670.8523424809,58729.6090071531,67092.7118808087
41227.4590394261,3573.34550265021,74526.5412209778,87467.16346697,107024.693613735
43268.4516135019,3519.86768839237,85888.922602057,96058.3884029545,115860.904971239
43479.597805698,3227.28886734178,90577.2687020771,101105.074691313,122790.887367734
44079.5932997708,3091.60248893743,95639.8875686575,109538.018652058,128174.936424911
45564.8447581603,3048.79977813401,104811.754835646,115424.727758467,137069.012459904
46303.9553405335,3114.89348342913,104653.301079692,116771.689095296,138033.523840368
46864.0978881002,3191.80801385969,103339.181602744,116893.16512192,137636.591699848
47070.2657583027,3224.01678647617,103870.756582875,116111.594490448,138439.615088117
47549.7525186941,3281.18890912988,105161.634682968,116640.847526311,139763.018069289
47214.9938960244,3249.09686119885,102612.545130241,110910.263746679,136068.924513073
45718.7053657082,3323.08901178862,98421.2360792934,102063.598097886,128938.036111849
44693.5627225187,3869.13418294832,95645.9914842661,93499.6885373637,119967.491319239
46949.3976148927,4356.78681862597,88383.1211803449,84988.7321001567,115269.884217357
45147.6922430271,4477.25398972598,62977.4446911816,65742.5630669092,86470.0252627094
45567.2196630767,4401.00472566563,62319.5165072168,65577.3308960441,85966.5889503041
45716.390539627,4059.15815502736,61231.4221135199,65297.9632825781,86332.4842921135
45340.2490076786,3959.06433329397,57074.5973021085,62759.8688089593,80160.2361964172
45140.0297888608,3860.20931004518,55133.8949786832,60701.386599848,71305.4527119049
44373.8339528178,3495.79513277058,52302.2069613345,59613.1506769428,70256.6634813482
43191.843641794,3388.92830204408,50375.663118536,58025.411615418,67816.6015274121
42530.6610926166,3256.07753927966,48917.2417919926,56456.0495006494,66440.2929130732
42092.4273029153,3168.81040917647,48055.8054918602,55324.0584352614,65899.0920730702
42205.5720755606,3189.27143995693,48338.8519034278,56571.375532691,65721.3988680069
41081.761676398,3370.15131795545,48670.8523424809,58729.6090071531,67092.7118808087
41227.4590394261,3573.34550265021,74526.5412209778,87467.16346697,107024.693613735
43268.4516135019,3519.86768839237,85888.922602057,96058.3884029545,115860.904971239
43479.597805698,3227.28886734178,90577.2687020771,101105.074691313,122790.887367734
44079.5932997708,3091.60248893743,95639.8875686575,109538.018652058,128174.936424911
45564.8447581603,3048.79977813401,104811.754835646,115424.727758467,137069.012459904
46303.9553405335,3114.89348342913,104653.301079692,116771.689095296,138033.523840368
46864.0978881002,3191.80801385969,103339.181602744,116893.16512192,137636.591699848
47070.2657583027,3224.01678647617,103870.756582875,116111.594490448,138439.615088117
47549.7525186941,3281.18890912988,105161.634682968,116640.847526311,139763.018069289
47214.9938960244,3249.09686119885,102612.545130241,110910.263746679,136068.924513073
45718.7053657082,3323.08901178862,98421.2360792934,102063.598097886,128938.036111849
44693.5627225187,3869.13418294832,95645.9914842661,93499.6885373637,119967.491319239
46949.3976148927,4356.78681862597,88383.1211803449,84988.7321001567,115269.884217357
45147.6922430271,4477.25398972598,62977.4446911816,65742.5630669092,86470.0252627094
45567.2196630767,4401.00472566563,62319.5165072168,65577.3308960441,85966.5889503041
45716.390539627,4059.15815502736,61231.4221135199,65297.9632825781,86332.4842921135
45340.2490076786,3959.06433329397,57074.5973021085,62759.8688089593,80160.2361964172
45140.0297888608,3860.20931004518,55133.8949786832,60701.386599848,71305.4527119049
44373.8339528178,3495.79513277058,52302.2069613345,59613.1506769428,70256.6634813482
43191.843641794,3388.92830204408,50375.663118536,58025.411615418,67816.6015274121
42530.6610926166,3256.07753927966,48917.2417919926,56456.0495006494,66440.2929130732
42092.4273029153,3168.81040917647,48055.8054918602,55324.0584352614,65899.0920730702
42205.5720755606,3189.27143995693,48338.8519034278,56571.375532691,65721.3988680069
41081.761676398,3370.15131795545,48670.8523424809,58729.6090071531,67092.7118808087
41227.4590394261,3573.34550265021,74526.5412209778,87467.16346697,107024.693613735
43268.4516135019,3519.86768839237,85888.922602057,96058.3884029545,115860.904971239
43479.597805698,3227.28886734178,90577.2687020771,101105.074691313,122790.887367734
44079.5932997708,3091.60248893743,95639.8875686575,109538.018652058,128174.936424911
45564.8447581603,3048.79977813401,104811.754835646,115424.727758467,137069.012459904
46303.9553405335,3114.89348342913,104653.301079692,116771.689095296,138033.523840368
46864.0978881002,3191.80801385969,103339.181602744,116893.16512192,137636.591699848
47070.2657583027,3224.01678647617,103870.756582875,116111.594490448,138439.615088117
47549.7525186941,3281.18890912988,105161.634682968,116640.847526311,139763.018069289
47214.9938960244,3249.09686119885,102612.545130241,110910.263746679,136068.924513073
45718.7053657082,3323.08901178862,98421.2360792934,102063.598097886,128938.036111849
44693.5627225187,3869.13418294832,95645.9914842661,93499.6885373637,119967.491319239
46949.3976148927,4356.78681862597,88383.1211803449,84988.7321001567,115269.884217357
45147.6922430271,4477.25398972598,62977.4446911816,65742.5630669092,86470.0252627094
45567.2196630767,4401.00472566563,62319.5165072168,65577.3308960441,85966.5889503041
45716.390539627,4059.15815502736,61231.4221135199,65297.9632825781,86332.4842921135
45340.2490076786,3959.06433329397,57074.5973021085,62759.8688089593,80160.2361964172
45140.0297888608,3860.20931004518,55133.8949786832,60701.386599848,71305.4527119049
44373.8339528178,3495.79513277058,52302.2069613345,59613.1506769428,70256.6634813482
43191.843641794,3388.92830204408,50375.663118536,58025.411615418,67816.6015274121
42530.6610926166,3256.07753927966,48917.2417919926,56456.0495006494,66440.2929130732
42092.4273029153,3168.81040917647,48055.8054918602,55324.0584352614,65899.0920730702
42205.5720755606,3189.27143995693,48338.8519034278,56571.375532691,65721.3988680069
