2026-04-15 18:12:46 | DEBUG | 1 | MacroEnergy | csv.jl:9 | Loading columns [:elec_demand_ER_p20_2024] from CSV data from C:\Users\apascale\OneDrive - Princeton University\Documents\GitHub\NZx_caseDev_MacroEP\electricity_fiveZ_8736_1p_nziShadow_stable\system/demand.csv
2026-04-15 18:12:46 | DEBUG | 1 | MacroEnergy | csv.jl:6 | Loading CSV data from C:\Users\apascale\OneDrive - Princeton University\Documents\GitHub\NZx_caseDev_MacroEP\electricity_fiveZ_8736_1p_nziShadow_stable\system/demand.csv
2026-04-15 18:12:47 | DEBUG | 1 | MacroEnergy | csv.jl:9 | Loading columns [:elec_demand_WR_p20_2024] from CSV data from C:\Users\apascale\OneDrive - Princeton University\Documents\GitHub\NZx_caseDev_MacroEP\electricity_fiveZ_8736_1p_nziShadow_stable\system/demand.csv
2026-04-15 18:12:47 | DEBUG | 1 | MacroEnergy | csv.jl:6 | Loading CSV data from C:\Users\apascale\OneDrive - Princeton University\Documents\GitHub\NZx_caseDev_MacroEP\electricity_fiveZ_8736_1p_nziShadow_stable\system/demand.csv
2026-04-15 18:12:47 | DEBUG | 1 | MacroEnergy | csv.jl:9 | Loading columns [:elec_demand_SR_p20_2024] from CSV data from C:\Users\apascale\OneDrive - Princeton University\Documents\GitHub\NZx_caseDev_MacroEP\electricity_fiveZ_8736_1p_nziShadow_stable\system/demand.csv
2026-04-15 18:12:47 | DEBUG | 1 | MacroEnergy | load_json_inputs.jl:103 | FETCHING DATA FROM: assets
2026-04-15 18:12:47 | DEBUG | 1 | MacroEnergy | load_json_inputs.jl:128 | Loading data from Biomass_5r_2024base.json
2026-04-15 18:12:47 | DEBUG | 1 | MacroEnergy | load_inputs.jl:2 | Loading JSON data from C:\Users\apascale\OneDrive - Princeton University\Documents\GitHub\NZx_caseDev_MacroEP\electricity_fiveZ_8736_1p_nziShadow_stable\assets\Biomass_5r_2024base.json
2026-04-15 18:12:47 | DEBUG | 1 | MacroEnergy | load_json_inputs.jl:19 | Loading JSON data from C:\Users\apascale\OneDrive - Princeton University\Documents\GitHub\NZx_caseDev_MacroEP\electricity_fiveZ_8736_1p_nziShadow_stable\assets\Biomass_5r_2024base.json
2026-04-15 18:12:47 | DEBUG | 1 | MacroEnergy | csv.jl:6 | Loading CSV data from C:\Users\apascale\OneDrive - Princeton University\Documents\GitHub\NZx_caseDev_MacroEP\electricity_fiveZ_8736_1p_nziShadow_stable\system/availability_PIER8760_5period.csv
2026-04-15 18:12:48 | DEBUG | 1 | MacroEnergy | csv.jl:9 | Loading columns [:EG_BIOMASS_ALL_ALL] from CSV data from C:\Users\apascale\OneDrive - Princeton University\Documents\GitHub\NZx_caseDev_MacroEP\electricity_fiveZ_8736_1p_nziShadow_stable\system/availability_PIER8760_5period.csv
2026-04-15 18:12:48 | DEBUG | 1 | MacroEnergy | load_json_inputs.jl:128 | Loading data from Coal_5r_2024base.json
2026-04-15 18:12:48 | DEBUG | 1 | MacroEnergy | load_inputs.jl:2 | Loading JSON data from C:\Users\apascale\OneDrive - Princeton University\Documents\GitHub\NZx_caseDev_MacroEP\electricity_fiveZ_8736_1p_nziShadow_stable\assets\Coal_5r_2024base.json
2026-04-15 18:12:48 | DEBUG | 1 | MacroEnergy | load_json_inputs.jl:19 | Loading JSON data from C:\Users\apascale\OneDrive - Princeton University\Documents\GitHub\NZx_caseDev_MacroEP\electricity_fiveZ_8736_1p_nziShadow_stable\assets\Coal_5r_2024base.json
