"TimeIndex","EG_SOLARGM_2039_ER","EG_SOLARGM_2039_NER","EG_SOLARGM_2039_NR","EG_SOLARGM_2039_SR","EG_SOLARGM_2039_WR","EG_SOLARRF_2039_ER","EG_SOLARRF_2039_NER","EG_SOLARRF_2039_NR","EG_SOLARRF_2039_SR","EG_SOLARRF_2039_WR","EG_WINDOFF_ALL_ER","EG_WINDOFF_ALL_SR","EG_WINDOFF_ALL_WR","EG_WINDON_2039_ER","EG_WINDON_2039_NER","EG_WINDON_2039_NR","EG_WINDON_2039_SR","EG_WINDON_2039_WR","EG_BIOMASS_2039_ALL","EG_COAL_2039_ALL","EG_LH_2039_ALL","EG_SH_2039_ALL","EG_CCGT_2039_ALL","EG_OCGT_2039_ALL","EG_PHWR_2039_ALL","EG_SMR_2039_ALL"
1,0,0,0,0,0,0,0,0,0,0,0.53948817,0.256770614,0.320714694,0.491873133,0.553761769,0.452262773,0.323634165,0.400884791,0.187570659,0.95,0.299687519,0.176155122,0.85,0.85,0.709166667,0.709166667
2,0,0,0,0,0,0,0,0,0,0,0.537536136,0.23244579,0.313027778,0.484877277,0.531678897,0.448381967,0.289411768,0.389822343,0.187570659,0.95,0.299687519,0.176155122,0.85,0.85,0.709166667,0.709166667
3,0,0,0,0,0,0,0,0,0,0,0.530437121,0.204163518,0.306026682,0.476662222,0.511870717,0.43734479,0.255602792,0.377538224,0.187570659,0.95,0.299687519,0.176155122,0.85,0.85,0.709166667,0.709166667
4,0,0,0,0,0,0,0,0,0,0,0.506680249,0.166711966,0.277410855,0.444454449,0.467035236,0.410859702,0.213338438,0.347674324,0.187570659,0.95,0.299687519,0.176155122,0.85,0.85,0.709166667,0.709166667
5,0,0,0,0,0,0,0,0,0,0,0.481308063,0.134070051,0.250235527,0.42320952,0.440249709,0.385976973,0.178577099,0.318317942,0.187570659,0.95,0.299687519,0.176155122,0.85,0.85,0.709166667,0.709166667
6,0,0.041890135,0,0,0,0,0.017458654,0,0,0,0.459486871,0.113309396,0.241067632,0.426631516,0.440351166,0.368524698,0.160218433,0.302046004,0.187570659,0.95,0.299687519,0.176155122,0.85,0.85,0.709166667,0.709166667
7,0.125791508,0.176846482,0.029567884,0.047627808,0.025495047,0.09830873,0.118324806,0.028067252,0.028473253,0,0.437385971,0.097771282,0.227264871,0.421103278,0.432912748,0.349415635,0.144828877,0.282186931,0.187570659,0.95,0.299687519,0.176155122,0.85,0.85,0.709166667,0.709166667
8,0.380102752,0.342324238,0.203446924,0.252865793,0.212541919,0.320313916,0.282050943,0.175539835,0.18647864,0.117095745,0.422519545,0.086442241,0.20754349,0.388355123,0.429684729,0.312039209,0.120754069,0.239272316,0.187570659,0.95,0.299687519,0.176155122,0.85,0.85,0.709166667,0.709166667
9,0.609761484,0.488817864,0.468976285,0.530661245,0.50627744,0.549206466,0.441778496,0.412885889,0.436016821,0.368847278,0.409564075,0.077798902,0.183175913,0.346832944,0.415611094,0.238794652,0.100720739,0.175670477,0.187570659,0.95,0.299687519,0.176155122,0.85,0.85,0.709166667,0.709166667
10,0.753963676,0.581583136,0.690093789,0.739325237,0.740140406,0.715985421,0.561474074,0.640599905,0.648282591,0.619049567,0.396458977,0.069863753,0.160638807,0.33217085,0.392762816,0.193416338,0.089085185,0.142384163,0.187570659,0.95,0.299687519,0.176155122,0.85,0.85,0.709166667,0.709166667
