"TimeIndex","EG_SOLARGM_2025_ER","EG_SOLARGM_2025_NER","EG_SOLARGM_2025_NR","EG_SOLARGM_2025_SR","EG_SOLARGM_2025_WR","EG_SOLARRF_2025_ER","EG_SOLARRF_2025_NER","EG_SOLARRF_2025_NR","EG_SOLARRF_2025_SR","EG_SOLARRF_2025_WR","EG_WINDOFF_ALL_ER","EG_WINDOFF_ALL_SR","EG_WINDOFF_ALL_WR","EG_WINDON_2025_ER","EG_WINDON_2025_NER","EG_WINDON_2025_NR","EG_WINDON_2025_SR","EG_WINDON_2025_WR","EG_BIOMASS_2025_ALL","EG_COAL_2025_ALL","EG_LH_2025_ALL","EG_SH_2025_ALL","EG_CCGT_2025_ALL","EG_OCGT_2025_ALL","EG_PHWR_2025_ALL","EG_SMR_2025_ALL"
4861,0.602027401,0.537089046,0.736235144,0.63571899,0.703998204,0.54469334,0.552184776,0.756310429,0.576321508,0.709308137,0.118598649,0.12951781,0.089076124,0.111872976,0.106105055,0.035760772,0.117011146,0.080626702,0.06869604,0.95,0.433195544,0.357134928,0.85,0.85,0.709166667,0.709166667
4862,0.537918122,0.472041561,0.702455104,0.578708674,0.663050413,0.463159221,0.463115591,0.704766854,0.515844264,0.670363507,0.121067217,0.148333201,0.084716308,0.120189787,0.109027366,0.04070724,0.119356151,0.080834607,0.06869604,0.95,0.433195544,0.357134928,0.85,0.85,0.709166667,0.709166667
4863,0.432562386,0.361838738,0.623701129,0.486203332,0.578551894,0.346088913,0.323075071,0.595277296,0.410769186,0.57753414,0.124668613,0.175787106,0.086559139,0.125833909,0.112588807,0.046785646,0.122668686,0.081606029,0.06869604,0.95,0.433195544,0.357134928,0.85,0.85,0.709166667,0.709166667
4864,0.285031933,0.212200103,0.494025265,0.359334351,0.45002644,0.207565181,0.177431661,0.432371317,0.271910197,0.436712872,0.123322029,0.195095632,0.090883622,0.123174396,0.108953591,0.052062141,0.119851921,0.07993866,0.06869604,0.95,0.433195544,0.357134928,0.85,0.85,0.709166667,0.709166667
4865,0.10719053,0.060243453,0.304265177,0.201698797,0.277142857,0.071203901,0.054726285,0.231976865,0.136482688,0.261319217,0.11972851,0.210531389,0.101055885,0.118387216,0.105150256,0.057951489,0.121184945,0.081220944,0.06869604,0.95,0.433195544,0.357134928,0.85,0.85,0.709166667,0.709166667
4866,0.002707866,0,0.097119594,0.054511087,0.091398572,0.001647192,0,0.061222704,0.035184714,0.085755911,0.121137164,0.226447812,0.117125571,0.118123951,0.110742912,0.066972463,0.130069369,0.088718269,0.06869604,0.95,0.433195544,0.357134928,0.85,0.85,0.709166667,0.709166667
4867,0,0,0,0,0,0,0,0,0,0,0.124172495,0.233906172,0.130772849,0.119878008,0.120902087,0.088516281,0.142815353,0.102568651,0.06869604,0.95,0.433195544,0.357134928,0.85,0.85,0.709166667,0.709166667
4868,0,0,0,0,0,0,0,0,0,0,0.126010535,0.237516959,0.139152106,0.118980327,0.126014597,0.118049589,0.159455561,0.116995666,0.06869604,0.95,0.433195544,0.357134928,0.85,0.85,0.709166667,0.709166667
4869,0,0,0,0,0,0,0,0,0,0,0.127405717,0.237983018,0.139776796,0.118517734,0.129991071,0.142011266,0.167538959,0.123962646,0.06869604,0.95,0.433195544,0.357134928,0.85,0.85,0.709166667,0.709166667
4870,0,0,0,0,0,0,0,0,0,0,0.127630536,0.23514711,0.135811945,0.11974617,0.135532959,0.15589023,0.168023359,0.126642869,0.06869604,0.95,0.433195544,0.357134928,0.85,0.85,0.709166667,0.709166667
