"TimeIndex","EG_SOLARGM_2025_ER","EG_SOLARGM_2025_NER","EG_SOLARGM_2025_NR","EG_SOLARGM_2025_SR","EG_SOLARGM_2025_WR","EG_SOLARRF_2025_ER","EG_SOLARRF_2025_NER","EG_SOLARRF_2025_NR","EG_SOLARRF_2025_SR","EG_SOLARRF_2025_WR","EG_WINDOFF_ALL_ER","EG_WINDOFF_ALL_SR","EG_WINDOFF_ALL_WR","EG_WINDON_2025_ER","EG_WINDON_2025_NER","EG_WINDON_2025_NR","EG_WINDON_2025_SR","EG_WINDON_2025_WR","EG_BIOMASS_2025_ALL","EG_COAL_2025_ALL","EG_LH_2025_ALL","EG_SH_2025_ALL","EG_CCGT_2025_ALL","EG_OCGT_2025_ALL","EG_PHWR_2025_ALL","EG_SMR_2025_ALL"
4871,0,0,0,0,0,0,0,0,0,0,0.125382999,0.228221952,0.129545481,0.120844591,0.139302774,0.16197314,0.163469131,0.126588863,0.06869604,0.95,0.433195544,0.357134928,0.85,0.85,0.709166667,0.709166667
4872,0,0,0,0,0,0,0,0,0,0,0.122479543,0.219520909,0.124792684,0.118091135,0.138904239,0.162692976,0.154365827,0.12475643,0.06869604,0.95,0.433195544,0.357134928,0.85,0.85,0.709166667,0.709166667
4873,0,0,0,0,0,0,0,0,0,0,0.125807613,0.218760044,0.126321537,0.117555738,0.141676318,0.161019002,0.144252328,0.120461336,0.06869604,0.95,0.433195544,0.357134928,0.85,0.85,0.709166667,0.709166667
4874,0,0,0,0,0,0,0,0,0,0,0.123717338,0.208368116,0.125885009,0.114016635,0.137844213,0.154070387,0.13729409,0.118148459,0.06869604,0.95,0.433195544,0.357134928,0.85,0.85,0.709166667,0.709166667
4875,0,0,0,0,0,0,0,0,0,0,0.121309817,0.194575849,0.127613653,0.110535807,0.135642385,0.145129441,0.130338578,0.117805813,0.06869604,0.95,0.433195544,0.357134928,0.85,0.85,0.709166667,0.709166667
4876,0,0,0,0,0,0,0,0,0,0,0.11921694,0.178724986,0.126281544,0.105721791,0.129588578,0.129970267,0.124000802,0.116929434,0.06869604,0.95,0.433195544,0.357134928,0.85,0.85,0.709166667,0.709166667
4877,0,0,0,0,0,0,0,0,0,0,0.120502416,0.168264546,0.12351265,0.101869528,0.122109974,0.119169104,0.121558323,0.117719944,0.06869604,0.95,0.433195544,0.357134928,0.85,0.85,0.709166667,0.709166667
4878,0,0,0,0,0,0,0,0,0,0,0.118401044,0.160242307,0.123126773,0.099955632,0.12083158,0.111529576,0.116707745,0.118969192,0.06869604,0.95,0.433195544,0.357134928,0.85,0.85,0.709166667,0.709166667
4879,0.070607099,0.10733959,0,0.01658424,0,0.065468725,0.091002897,0,0.017799552,0,0.116904106,0.153191105,0.125676344,0.099327728,0.119860951,0.104522938,0.112521459,0.121388599,0.06869604,0.95,0.433195544,0.357134928,0.85,0.85,0.709166667,0.709166667
4880,0.25873289,0.297892644,0.116611299,0.152341591,0.120768299,0.232015774,0.273295083,0.114938195,0.125866231,0.080786654,0.113219036,0.146039444,0.127179455,0.091318194,0.10941072,0.096345181,0.101793168,0.120418211,0.06869604,0.95,0.433195544,0.357134928,0.85,0.85,0.709166667,0.709166667
4881,0.439982995,0.437839944,0.346775136,0.357735017,0.346489935,0.406998597,0.429418381,0.336926011,0.303776799,0.270558554,0.1117643,0.13949965,0.125693608,0.08104369,0.1005064,0.072478189,0.08895771,0.102013774,0.06869604,0.95,0.433195544,0.357134928,0.85,0.85,0.709166667,0.709166667
